PARTNER_NB;PARTNER_NAME_TX;PARTNER_SUPPLEMENT_TX;PARTNER_STREET_TX;PARTNER_ZIP_CD;PARTNER_TOWN_TX;PARTNER_TEL_NB_TX;PARTNER_E_MAIL_TX;PARTNER_LANGUAGE_CD;FIRST_NAME_TX;LAST_NAME_TX;PERSON_FUNCTION_TX;PERSON_LANGUAGE_CD;PERSON_TEL_NB_TX;PERSON_E_MAIL_TX
7000;PMS 7000;;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;790'682;;;
7001;PMS 7001;;Espace de l'Europe 10;4242;Lausanne;;;1;Petra;Muster;731'703;;;
7004;PMS 7004;;Espace de l'Europe 10;4242;Lausanne;;;1;Petra;Muster;731'703;;;
7008;PMS 7008;;Espace de l'Europe 10;4242;Lausanne;;lik@bfs.admin.ch;;Petra;Muster;731'703;;;
7011;PMS 7011;;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;731'703;;;
7013;PMS 7013;;Espace de l'Europe 10;4242;Lausanne;058 463 69 01;;1;Petra;Muster;731'703;;;
7014;PMS 7014;;Espace de l'Europe 10;4242;Lausanne;058 463 69 02;;1;Petra;Muster;696'979;;;
7017;PMS 7017;;Espace de l'Europe 10;4242;Lausanne;058 463 69 03;;1;Petra;Muster;696'979;;;
7019;PMS 7019;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;706'674;;;
7081;PMS 7081;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 01;;1;Petra;Muster;790'682;;;
7082;PMS 7082;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 02;;1;Petra;Muster;;1;;
7087;PMS 7087;;Espace de l'Europe 10;4242;Lausanne;058 463 69 03;;1;Petra;Muster;706'674;;;
7088;PMS 7088;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;696'979;;;
7089;PMS 7089;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 01;;1;Petra;Muster;696'979;;;
7090;PMS 7090;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 02;;1;Petra;Muster;696'979;;;
7091;PMS 7091;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 03;;1;Petra;Muster;731'703;;;
7092;PMS 7092;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;790'682;;;
7104;PMS 7104;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 01;;1;Petra;Muster;790'682;;;
7250;PMS 7250;;Espace de l'Europe 10;4242;Lausanne;058 463 69 02;;1;Petra;Muster;;1;;
7299;PMS 7299;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 03;;1;Petra;Muster;696'979;;;
7301;PMS 7301;;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;790'682;;;
7302;PMS 7302;;Espace de l'Europe 10;4242;Lausanne;058 463 69 01;;1;Petra;Muster;731'703;;;
7303;PMS 7303;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 02;;1;Petra;Muster;;1;;
7304;PMS 7304;;Espace de l'Europe 10;4242;Lausanne;058 463 69 03;;1;Petra;Muster;731'703;;;
7305;PMS 7305;;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;706'674;;;
7306;PMS 7306;;Espace de l'Europe 10;4242;Lausanne;058 463 69 01;;1;Petra;Muster;;1;;
7307;PMS 7307;;Espace de l'Europe 10;4242;Lausanne;058 463 69 02;;1;Petra;Muster;731'703;;;
7308;PMS 7308;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 03;;2;Petra;Muster;;;;
7309;PMS 7309;Zusatzname;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;696'979;;;
7310;PMS 7310;;Espace de l'Europe 10;4242;Lausanne;058 463 69 01;;1;Petra;Muster;790'682;;;
7311;PMS 7311;;Espace de l'Europe 10;4242;Lausanne;058 463 69 02;;2;Petra;Muster;;;;
7312;PMS 7312;;Espace de l'Europe 10;4242;Lausanne;058 463 69 03;;1;Petra;Muster;706'674;;;
7313;PMS 7313;;Espace de l'Europe 10;4242;Lausanne;058 463 69 00;;1;Petra;Muster;731'703;;;
7314;PMS 7314;;Espace de l'Europe 10;4242;Lausanne;058 463 69 01;;1;Petra;Muster;;1;;
7316;PMS 7316;;Espace de l'Europe 10;1200;Coire;058 463 69 02;;1;Petra;Muster;696'979;;;
7317;PMS 7317;;Espace de l'Europe 10;1200;Coire;058 463 69 03;;1;Petra;Muster;731'703;;;
7319;PMS 7319;;Espace de l'Europe 10;1200;Coire;058 463 69 00;;1;Petra;Muster;731'703;;;
7322;PMS 7322;;Espace de l'Europe 10;1200;Coire;058 463 69 01;;1;Petra;Muster;;1;;
7325;PMS 7325;Zusatzname;Espace de l'Europe 10;1200;Coire;058 463 69 02;lik@bfs.admin.ch;1;Petra;Muster;696'979;;;
7331;PMS 7331;Zusatzname;Espace de l'Europe 10;1200;Coire;058 463 69 03;;1;Petra;Muster;706'674;;;
7333;PMS 7333;;Espace de l'Europe 10;1200;Coire;058 463 69 00;;1;Petra;Muster;696'979;;;
7335;PMS 7335;;Espace de l'Europe 10;1200;Coire;058 463 69 01;;1;Petra;Muster;731'703;;;
7336;PMS 7336;Basel;Espace de l'Europe 10;1200;Coire;058 463 69 02;;1;Petra;Muster;;1;;
7337;PMS 7337;;Espace de l'Europe 10;1200;Coire;058 463 69 03;;1;Petra;Muster;790'682;;;
7338;PMS 7338;;;1200;Coire;058 463 69 00;;1;Petra;Muster;790'682;;;
7339;PMS 7339;;Espace de l'Europe 10;1200;Coire;058 463 69 01;;1;Petra;Muster;696'979;;;
7342;PMS 7342;;Espace de l'Europe 10;1200;Coire;058 463 69 02;;1;Petra;Muster;790'682;;;
7347;PMS 7347;;Espace de l'Europe 10;1200;Coire;058 463 69 03;lik@bfs.admin.ch;1;Petra;Muster;696'979;;;
7349;PMS 7349;;Espace de l'Europe 10;1200;Coire;058 463 69 00;;1;Petra;Muster;731'703;;;
7355;PMS 7355;;Espace de l'Europe 10;1200;Coire;058 463 69 01;lik@bfs.admin.ch;1;Petra;Muster;706'674;;;
7357;PMS 7357;Zusatzname;;1200;Coire;058 463 69 02;;1;Petra;Muster;790'682;;;
7360;PMS 7360;Zusatzname;Espace de l'Europe 10;1200;Coire;058 463 69 03;;1;Hans;Müller;706'674;;;
