Erhebungsmonat;Preissubsystem;Schemanummer;PMS;EP;Laufnummer;Preis_T;Menge_T;Preis_VPK;Menge_VPK;BC;Aktionscode;Ausverkauf;Text;Artikelnummer;Sonderpreis;Fehlende_Preise_R;BemerkungenMitHistorie;Tablet_Informationen;Preis_vor_Reduktion;Menge_vor_Reduktion;Ist_Preisreihe_zu_beenden;"DynamischesFeld1;DynamischesFeld2;DynamischesFeld3;DynamischesFeld4;DynamischesFeld5"
01.12.2016;2;﻿0;7000;9457;1;91;1;;;;0;0;Konzerte, Einzeleintritte;;0;;;zeitPos=1|sortNr=1;91;1;0;";;;;"
01.12.2016;2;0;7000;9457;2;76;1;;;;0;0;Konzerte, Einzeleintritte;;0;;;zeitPos=1|sortNr=2;76;1;0;";;;;"
01.12.2016;2;0;7000;9457;3;61;1;;;;0;0;Konzerte, Einzeleintritte;;0;;;zeitPos=1|sortNr=3;61;1;0;";;;;"
01.12.2016;2;0;7000;9457;4;36;1;;;;0;0;Konzerte, Einzeleintritte;;0;;;zeitPos=1|sortNr=5;36;1;0;";;;;"
01.12.2016;2;0;7000;9457;5;46;1;;;;0;0;Konzerte, Einzeleintritte;;0;;;zeitPos=1|sortNr=4;46;1;0;";;;;"
01.12.2016;2;0;7000;9458;13;401;6;;;;0;0;Konzerte, Abonnemente;;0;;;zeitPos=1|sortNr=6;401;6;0;";;;;"
01.12.2016;2;0;7000;9458;14;336;6;;;;0;0;Konzerte, Abonnemente;;0;;;zeitPos=1|sortNr=7;336;6;0;";;;;"
01.12.2016;2;0;7000;9458;15;266;6;;;;0;0;Konzerte, Abonnemente;;0;;;zeitPos=1|sortNr=8;266;6;0;";;;;"
01.12.2016;2;0;7000;9458;16;211;6;;;;0;0;Konzerte, Abonnemente;;0;;;zeitPos=1|sortNr=9;211;6;0;";;;;"
01.12.2016;2;0;7001;9437;1;19;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=1;19;1;0;";;;;"
01.12.2016;2;0;7001;9437;2;15;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=2;15;1;0;";;;;"
01.12.2016;2;0;7001;9439;1;17;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=3;17;1;0;";;;;"
01.12.2016;2;0;7001;9439;2;15;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=5;15;1;0;";;;;"
01.12.2016;2;0;7001;9439;3;15;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=4;15;1;0;";;;;"
01.12.2016;2;0;7004;9437;1;17;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=3;17;1;0;";;;;"
01.12.2016;2;0;7004;9437;2;19;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=1;19;1;0;";;;;"
01.12.2016;2;0;7004;9438;1;15;1;;;;0;0;Kino, Kat. 2 (mittlere);;0;;;zeitPos=1|sortNr=2;15;1;0;";;;;"
01.12.2016;2;0;7004;9439;1;15;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=5;15;1;0;";;;;"
01.12.2016;2;0;7004;9439;2;15;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=4;15;1;0;";;;;"
01.12.2016;2;0;7008;9437;1;36;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=6;36;1;0;";;;;"
01.12.2016;2;0;7008;9437;2;23;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=9;23;1;0;";;;;"
01.12.2016;2;0;7008;9437;3;26;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=7;26;1;0;";;;;"
01.12.2016;2;0;7008;9438;2;20;1;;;;0;0;Kino, Kat. 2 (mittlere);;0;;;zeitPos=1|sortNr=1;20;1;0;";;;;"
01.12.2016;2;0;7008;9438;3;17;1;;;;0;0;Kino, Kat. 2 (mittlere);;0;;;zeitPos=1|sortNr=3;17;1;0;";;;;"
01.12.2016;2;0;7008;9438;5;17;1;;;;0;0;Kino, Kat. 2 (mittlere);;0;;;zeitPos=1|sortNr=4;17;1;0;";;;;"
01.12.2016;2;0;7008;9439;2;31;3;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=8;31;3;0;";;;;"
01.12.2016;2;0;7008;9439;3;13;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=5;13;1;0;";;;;"
01.12.2016;2;0;7008;9439;4;15;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=2;15;1;0;";;;;"
01.12.2016;2;0;7014;9437;1;19;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=1;19;1;0;";;;;"
01.12.2016;2;0;7014;9437;2;37;2;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=3;37;2;0;";;;;"
01.12.2016;2;0;7014;9437;3;28;1;;;;0;0;Kino, Kat. 1 (teuerste);;0;;;zeitPos=1|sortNr=2;28;1;0;";;;;"
01.12.2016;2;0;7014;9438;1;18;1;;;;0;0;Kino, Kat. 2 (mittlere);;0;;;zeitPos=1|sortNr=4;18;1;0;";;;;"
01.12.2016;2;0;7014;9438;3;63;4;;;;0;0;Kino, Kat. 2 (mittlere);;0;;;zeitPos=1|sortNr=6;63;4;0;";;;;"
01.12.2016;2;0;7014;9438;4;27;1;;;;0;0;Kino, Kat. 2 (mittlere);;0;;;zeitPos=1|sortNr=5;27;1;0;";;;;"
01.12.2016;2;0;7014;9439;1;16;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=7;16;1;0;";;;;"
01.12.2016;2;0;7014;9439;2;14;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=9;14;1;0;";;;;"
01.12.2016;2;0;7014;9439;3;16;1;;;;0;0;Kino, Kat. 3 (billigste);;0;;;zeitPos=1|sortNr=8;16;1;0;";;;;"
01.12.2016;2;0;7019;4012;1;16.95;5;;;;0;0;Farben;4.102.160;0;;;zeitPos=1|sortNr=37;16.95;5;0;";;;;"
01.12.2016;2;0;7019;4012;3;30.95;5;;;;0;0;Farben;4.102.192;0;;;zeitPos=1|sortNr=36;30.95;5;0;";;;;"
01.12.2016;2;0;7019;4012;10;65.95;1;;;;0;0;Farben;3.225.537;0;;;zeitPos=1|sortNr=38;65.95;1;0;";;;;"
01.12.2016;2;0;7019;4013;2;35.95;1;;;;0;0;Holzprodukte und Wandverkleidung;4.965.917;0;;;zeitPos=1|sortNr=62;35.95;1;0;";;;;"
01.12.2016;2;0;7019;4013;3;10.7;1;;;;0;0;Holzprodukte und Wandverkleidung;3.225.984;0;;;zeitPos=1|sortNr=64;10.7;1;0;";;;;"
01.12.2016;2;0;7019;4013;6;15.9;1;;;;0;0;Holzprodukte und Wandverkleidung;3.230.852;0;;;zeitPos=1|sortNr=63;15.9;1;0;";;;;"
01.12.2016;2;0;7019;4014;1;26.5;1;;;;0;0;Sanitärartikel;3.619.558;0;;;zeitPos=1|sortNr=39;26.5;1;0;";;;;"
01.12.2016;2;0;7019;4014;4;210;1;;;;0;0;Sanitärartikel;4.644.080;0;;;zeitPos=1|sortNr=42;210;1;0;";;;;"
01.12.2016;2;0;7019;4014;5;83.95;1;;;;0;0;Sanitärartikel;;0;;;zeitPos=1|sortNr=43;83.95;1;0;";;;;"
01.12.2016;2;0;7019;4015;6;12.95;1;;;;0;0;Fixe Bodenbeläge;3.820.980;0;;;zeitPos=1|sortNr=49;12.95;1;0;";;;;"
01.12.2016;2;0;7019;4015;10;12.95;1;;;;0;0;Fixe Bodenbeläge;3.821.393;0;;;zeitPos=1|sortNr=48;12.95;1;0;";;;;"
01.12.2016;2;0;7019;4015;11;14.95;1;;;;0;0;Fixe Bodenbeläge;3.821.265;0;;;zeitPos=1|sortNr=47;14.95;1;0;";;;;"
01.12.2016;2;0;7019;4016;1;23.95;5;;;;0;0;Zement, Gips und Verputzmittel;4.859.533;0;;;zeitPos=1|sortNr=58;23.95;5;0;";;;;"
01.12.2016;2;0;7019;4016;2;8.5;5;;;;0;0;Zement, Gips und Verputzmittel;3.658.527;0;;;zeitPos=1|sortNr=55;8.5;5;0;";;;;"
01.12.2016;2;0;7019;4016;3;6.9;5;;;;0;0;Zement, Gips und Verputzmittel;3.658.691;0;;;zeitPos=1|sortNr=54;6.9;5;0;";;;;"
01.12.2016;2;0;7019;4017;1;7.5;0.31;;;;0;0;Verbund- und Klebestoffe;3.227.300;0;;;zeitPos=1|sortNr=56;7.5;0.31;0;";;;;"
