Schemanummer;Preiserhebungsort (PMS);Erhebungspositionsnummer;Laufnummer;Preis T;Menge T;Aktionscode;Ausverkauf;Datum (Preis gültig seit);Text;Artikelnummer;Basispreis;Basismenge;Sonderpreis;Fehlende Preise -R-;Bemerkungen;Tablet Informationen;Preis vor Reduktion;Menge vor Reduktion;Preisreihe ist zu beenden;Produktmerkmal 1;Produktmerkmal 2;Produktmerkmal 3;Produktmerkmal 4;Produktmerkmal 5
0;7000;9457;1;91.0000;1.000;0;0;01.09.2010;Konzerte, Einzeleintritte;;49.0000;1.000;0;;;zeitPos=1|sortNr=1;91.0000;1.000;0;;;;;;
0;7000;9457;2;76.0000;1.000;0;0;01.09.2010;Konzerte, Einzeleintritte;;39.0000;1.000;0;;;zeitPos=1|sortNr=2;76.0000;1.000;0;;;;;;
0;7000;9457;3;61.0000;1.000;0;0;01.09.2010;Konzerte, Einzeleintritte;;29.0000;1.000;0;;;zeitPos=1|sortNr=3;61.0000;1.000;0;;;;;;
0;7000;9457;4;36.0000;1.000;0;0;01.09.2006;Konzerte, Einzeleintritte;;21.0000;1.000;0;;;zeitPos=1|sortNr=5;36.0000;1.000;0;;;;;;
0;7000;9457;5;46.0000;1.000;0;0;01.09.2006;Konzerte, Einzeleintritte;;36.0000;1.000;0;;;zeitPos=1|sortNr=4;46.0000;1.000;0;;;;;;
0;7000;9458;13;401.0000;6.000;0;0;01.09.2012;Konzerte, Abonnemente;;401.0000;6.000;0;;;zeitPos=1|sortNr=6;401.0000;6.000;0;;;;;;
0;7000;9458;14;336.0000;6.000;0;0;01.09.2012;Konzerte, Abonnemente;;336.0000;6.000;0;;;zeitPos=1|sortNr=7;336.0000;6.000;0;;;;;;
0;7000;9458;15;266.0000;6.000;0;0;01.09.2012;Konzerte, Abonnemente;;266.0000;6.000;0;;;zeitPos=1|sortNr=8;266.0000;6.000;0;;;;;;
0;7000;9458;16;211.0000;6.000;0;0;01.09.2012;Konzerte, Abonnemente;;211.0000;6.000;0;;;zeitPos=1|sortNr=9;211.0000;6.000;0;;;;;;
0;7001;9437;1;19.0000;1.000;0;0;01.12.2014;Kino, Kat. 1 (teuerste);;14.0000;1.000;0;;;zeitPos=1|sortNr=1;19.0000;1.000;0;;;;;;
0;7001;9437;2;15.0000;1.000;0;0;01.12.2010;Kino, Kat. 1 (teuerste);;15.0000;1.000;0;;;zeitPos=1|sortNr=2;15.0000;1.000;0;;;;;;
0;7001;9439;1;17.0000;1.000;0;0;01.03.2015;Kino, Kat. 3 (billigste);;10.0000;1.000;0;;;zeitPos=1|sortNr=3;17.0000;1.000;0;;;;;;
0;7001;9439;2;15.0000;1.000;0;0;01.12.2014;Kino, Kat. 3 (billigste);;12.0000;1.000;0;;;zeitPos=1|sortNr=5;15.0000;1.000;0;;;;;;
0;7001;9439;3;15.0000;1.000;0;0;01.12.2014;Kino, Kat. 3 (billigste);;13.0000;1.000;0;;;zeitPos=1|sortNr=4;15.0000;1.000;0;;;;;;
0;7004;9437;1;17.0000;1.000;0;0;01.12.2014;Kino, Kat. 1 (teuerste);;17.0000;1.000;0;;;zeitPos=1|sortNr=3;17.0000;1.000;0;;;;;;
0;7004;9437;2;19.0000;1.000;0;0;01.12.2014;Kino, Kat. 1 (teuerste);;19.0000;1.000;0;;;zeitPos=1|sortNr=1;19.0000;1.000;0;;;;;;
0;7004;9438;1;15.0000;1.000;0;0;01.12.2014;Kino, Kat. 2 (mittlere);;15.0000;1.000;0;;;zeitPos=1|sortNr=2;15.0000;1.000;0;;;;;;
0;7004;9439;1;15.0000;1.000;0;0;01.12.2014;Kino, Kat. 3 (billigste);;15.0000;1.000;0;;;zeitPos=1|sortNr=5;15.0000;1.000;0;;;;;;
0;7004;9439;2;15.0000;1.000;0;0;01.12.2014;Kino, Kat. 3 (billigste);;15.0000;1.000;0;;;zeitPos=1|sortNr=4;15.0000;1.000;0;;;;;;
0;7008;9437;1;36.0000;1.000;0;0;01.03.2016;Kino, Kat. 1 (teuerste);;35.0000;1.000;0;;;zeitPos=1|sortNr=6;36.0000;1.000;0;;;;;;
0;7008;9437;2;23.0000;1.000;0;0;01.09.2014;Kino, Kat. 1 (teuerste);;23.0000;1.000;0;;;zeitPos=1|sortNr=9;23.0000;1.000;0;;;;;;
0;7008;9437;3;26.0000;1.000;0;0;01.12.2015;Kino, Kat. 1 (teuerste);;26.0000;1.000;0;;;zeitPos=1|sortNr=7;26.0000;1.000;0;;;;;;
0;7008;9438;2;20.0000;1.000;0;0;01.09.2014;Kino, Kat. 2 (mittlere);;20.0000;1.000;0;;;zeitPos=1|sortNr=1;20.0000;1.000;0;;;;;;
