Code;Parent;Lvl;Name_en;Name_de;Name_fr;Name_it;Desc_en;Desc_de;Desc_fr;Desc_it;POSTYP_Title;POSTYP_Text
"100";"";"1";"Total";"Total";"Total";"Totale";"";"";"";"";"1";""
"1";"100";"2";"Food and non-alcoholic beverages";"Nahrungsmittel und alkoholfreie Getränke";"Alimentation et boissons non-alcoolisées";"Prodotti alimentari, bevande analcoliche";"";"";"";"";"2";""
"1001";"1";"3";"Food";"Nahrungsmittel";"Alimentation";"Prodotti alimentari";"";"";"";"";"3";""
"1002";"1001";"4";"Bread, flour and food products";"Brot, Mehl und Nährmittel";"Pain, farine et produits alimentaires";"Pane, farina e cereali";"";"";"";"";"3";""
"1003";"1002";"5";"Rice";"Reis";"Riz";"Riso";"";"";"";"";"4";""
"1004";"1003";"6";"";"Reis";"Riz";"Riso";"";"";"";"";"6";""
"1008";"1002";"5";"Flour";"Mehl";"Farine";"Farina";"";"";"";"";"4";""
"1009";"1008";"6";"";"Weissmehl";"Farine blanche";"Farina bianca";"";"";"";"";"6";""
"1010";"1008";"6";"";"Andere Mehle und Griesse";"Autres farines et semoules";"Altre farine e semolino";"";"";"";"";"6";""
"1014";"1002";"5";"Bread, pastries and other baked products";"Brot, Konditorei- und Dauerbackwaren";"Pain, pâtisserie et autres articles de boulangerie";"Pane, prodotti di pasticceria e altra panetteria";"";"";"";"";"3";""
"1015";"1014";"6";"Bread";"Brot";"Pain";"Pane";"";"";"";"";"4";""
"1024";"1015";"7";"";"Weissbrot";"Pain blanc";"Pane bianco";"";"";"";"";"6";""
"1017";"1015";"7";"";"Ruchbrot";"Pain bis";"Pane bigio";"";"";"";"";"6";""
"1018";"1015";"7";"";"Halbweissbrot";"Pain mi-blanc";"Pane semibianco";"";"";"";"";"6";""
"1022";"1015";"7";"";"Zopf";"Tresse";"Treccia";"";"";"";"";"6";""
"1023";"1015";"7";"";"Andere Brote";"Autres pains";"Altro pane";"";"";"";"";"6";""
"1027";"1014";"6";"Small baked goods";"Kleinbrot und -gebäck";"Produits de petite boulangerie";"Piccola panetteria";"";"";"";"";"4";""
"1028";"1027";"7";"";"Weggli";"Petit pain au lait";"Michetta al latte";"";"";"";"";"6";""
"1029";"1027";"7";"";"Gipfeli";"Croissant";"Cornetto";"";"";"";"";"6";""
"1030";"1027";"7";"";"Mütschli, Bürli";"Ballon";"Michetta";"";"";"";"";"6";""
"1031";"1027";"7";"";"Anderes Kleingebäck";"Autres produits de petite boulangerie";"Altri prodotti di piccola panetteria";"";"";"";"";"6";""
"1032";"1027";"7";"";"Frischback-Kleingebäck im Beutel";"Produits frais de petite boulangerie, en sachet";"Prodotti di panetteria freschi in sacchetto";"";"";"";"";"6";""
"1036";"1014";"6";"Viennese pastries, pastry products";"Feingebäck und Konditoreiwaren";"Viennoiseries, produits de pâtisserie";"Prodotti di pasticceria";"";"";"";"";"4";""
"1037";"1036";"7";"";"Nussgipfel";"Croissant fourré aux noisettes";"Cornetto alle nocciole";"";"";"";"";"6";""
"1038";"1036";"7";"";"Schnecken";"Escargot";"Lumaca";"";"";"";"";"6";""
"1039";"1036";"7";"";"Früchte- und Käsekuchen";"Tarte aux fruits et gâteau au fromage";"Torte alla frutta, torte al formaggio";"";"";"";"";"6";""
"1040";"1036";"7";"";"Stückli";"Pièce sèche";"Pastefrolle";"";"";"";"";"6";""
"1041";"1036";"7";"";"Schnitt-Torten";"Tourtes en tranches";"Torte a fette";"";"";"";"";"6";""
"1042";"1036";"7";"";"Cremeschnitten";"Millefeuille";"Millefoglie";"";"";"";"";"6";""
"1044";"1036";"7";"";"Anderes Feingebäck und Konditoreiwaren";"Autres produits de boulangerie fine";"Altri prodotti di pasticceria";"";"";"";"";"6";""
"1048";"1014";"6";"Biscuit/rusk products";"Dauerbackwaren";"Produits de biscuiterie, biscotterie";"Pasticceria a lunga conservazione";"";"";"";"";"4";""
"1049";"1048";"7";"";"Zwieback";"Zwiebacks";"Fette biscottate (Zwieback)";"";"";"";"";"6";""
"1050";"1048";"7";"";"Knäckebrot";"Pain croustillant";"Pane croccante (Knäckebrot)";"";"";"";"";"6";""
"1051";"1048";"7";"";"Apéro- und Salzgebäcke";"Produits salés, pour l'apéritif";"Salatini";"";"";"";"";"6";""
"1052";"1048";"7";"";"Trockenbiscuits (mit und ohne Schokolade)";"Biscuits secs (avec ou sans chocolat)";"Biscotti secchi (con o senza cioccolato)";"";"";"";"";"6";""
"1053";"1048";"7";"";"Waffelbiscuit";"Gaufrettes";"Cialde";"";"";"";"";"6";""
"1054";"1048";"7";"";"Schnittbrot abgepackt";"Pain en tranches confectionné";"Pane a fette confezionato";"";"";"";"";"6";""
"1058";"1002";"5";"Pasta";"Teigwaren";"Pâtes";"Pasta alimentare";"";"";"";"";"4";""
"1059";"1058";"6";"";"Spaghetti";"Spaghettis";"Spaghetti";"";"";"";"";"6";""
"1060";"1058";"6";"";"Hörnli";"Cornettes";"Cornetti";"";"";"";"";"6";""
