a_navigate-to-settings,Einstellungen bearbeiten,Edit settings,Paramètres,Modificare impostazioni
bearbeitungscode_0,Preisreihe beenden,Discontinue the price series,Fin de la série de prix,Interrompere la serie di prezzo
bearbeitungscode_1,Direkter Ersatz,Direct substitution,Substitution directe,Sostituzione diretta
bearbeitungscode_101,Aktuell nicht an Lager,Out of stock,Momentanément indisponible,Momentaneamente non disponibile
bearbeitungscode_2,Neue Preismeldung mit Vorperiodenpreis,New item with price of previous period,Nouvel article avec prix de la période précédente,Nuovo articolo con prezzo del periodo precedente
bearbeitungscode_3,Neue Preismeldung,New item,Nouvel article,Nuovo articolo
bearbeitungscode_44,Saisonal fehlend,Seasonal out of stock,Indisponibilité saisonière,Indisponibilità stagionale
bearbeitungscode_7,Verkettung,Chaining,Chaînage,Concatenamento
bearbeitungscode_99,Standardabbuchung,Standard entry,Saisie standard,Entrata standard
btn_cancel,Abbrechen,Cancel,Annuler,Annullare
btn_close,Schliessen,Close,Fermer,Chiudere
btn_comment,Kommentieren,Comment,Commenter,Commentare
btn_continue-editing,Weiterbearbeiten,Continue editing,Continuer la saisie,Continuare modifica
btn_delete-local-entries,Lokale Daten von Gerät löschen,Delete local entries from device,Effacer les données locales de l'appareil,Cancellare dati locali dall'apparecchio
btn_edit-comment,Bearbeiten/kommentieren,Edit/comment,Editer/Commenter,Modificare/Commentare
btn_edit,Bearbeiten,Edit,Editer,Modificare
btn_erfassung_speichern,Speichern,Save,Enregistrer,Salvare
btn_erledigt,Erledigt,Done,Terminer,Eseguito
btn_leeren,Leeren,Clear,Effacer,Svuotare
btn_login,Anmelden,Login,Login,Login
btn_no,Nein,No,Non,No
btn_ok,OK,OK,OK,OK
btn_order-save,Reihenfolge übernehmen,Save order,Enregistrer le tri,Salvare l'ordine
btn_pm-delete,Preismeldung löschen,Delete price data,Supprimer l'article,Cancellare articolo
btn_pm-reset,Preismeldung zurücksetzen,Reset price data,Réinitialiser l'article,Azzerare articolo
btn_reset-selection,Auswahl aufheben,Reset selection,Annuler la sélection,Deselezionare
btn_save,Speichern,Save,Enregistrer,Salvare
btn_synchronize,Synchronisieren,Synchronize,Synchroniser,Sincronizzare
btn_upload-now,Jetzt hochladen,Upload now,Transférer,Caricare ora
btn_verwerfen,Verwerfen,Discard,Annuler,Annullare le modifiche
btn_warenkorb_collapse_all,Alles zuklappen,Collapse all,Réduire le tout,Ridurre tutto
btn_yes,Ja,Yes,Oui,Sì
control_artikeltext,Artikeltext,Item name,Description de l'article,Descrizione dell'articolo
control_menge,Menge aktuelle Periode,Quantity current period,Quantité période actuelle,Quantità periodo attuale
control_mengeVorReduktion,Menge aktuelle Periode (ohne Mengenrabatt),Quantity current period (without quantity discount),Quantité période actuelle (sans rabais de quantité),Quantità periodo attuale (senza sconto sulla quantità)
control_mengeVPNormalNeuerArtikel,Menge Vorperiode (neuer Artikel),Quantity previous period (new item),Quantité période précédente (nouvel article),Quantità periodo precedente (nuovo articolo)
control_mengeVPK,Menge Vorperiode,Quantity previous period,Quantité période précédente,Quantità periodo precedente
control_preis,Preis aktuelle Periode,Price current period,Prix période actuelle,Prezzo periodo attuale
control_preisVorReduktion,Preis ausser Aktion,Price without reduction,Prix hors action,Prezzo non in azione
control_preisVPK,Preis der Vorperiode,Price previous period,Prix période précédente,Prezzo periodo precedente
control_preisVPNormalNeuerArtikel,Preis der Vorperiode (neuer Artikel),Price previous period (new item),Prix période précédente (nouvel article),Prezzo periodo precedente (nuovo articolo)
dialogText_abnormal-preisentwicklung,Grosse Preisveränderungen/-differenzen. Stimmen die eingegebenen Preise und Mengen?,Change out of range! Are prices and quantities correct?,Variation importante ! Le prix et la quantité sont-ils corrects ?,Variazione importante! Sono corretti i prezzi e le quantità?
dialogText_aktion-message-preis-hoeher,Artikel teurer als in Vorperiode. Ist der Artikel wirklich in Aktion?,Item price higher than last period. Is item still on sale this month?,Article plus cher que lors de la période précédente. Le prix est-il vraiment en action ?,Articolo più caro rispetto al periodo precedente. È effettivamente in azione?
dialogText_aktueller-aktionspreis-gleich-groesser-vp-normalpreis,Aktueller Aktionspreis ist gleich oder grösser als Normalpreis in VP. Stimmt der erfasste Preis?,Today's reduced price is greater than or equal to the normal price of previous period. Is price correct?,Le prix actuel en action est supérieur/égal au prix normal de la période précédente. Le prix enregistré est-il correct ?,Prezzo scontato attuale più uguale o più elevato rispetto al periodo precedente. È corretto il prezzo rilevato?
dialogText_aufforderung-ersatzsuche,In der EP sind nur {{numActivePrices}}/{{anzahlPreiseProPMS}} Artikel erfasst. Wollen Sie ein neues Produkt erfassen?,Only {{numActivePrices}}/{{anzahlPreiseProPMS}} items recorded in this position. Would you like to record a new item?,Seuls {{numActivePrices}}/{{anzahlPreiseProPMS}} articles sont enregistrés dans cette EP. Voulez-vous relever un nouvel article ?,Nella varietà sono rilevati solo {{numActivePrices}}/{{anzahlPreiseProPMS}} articoli. Vuole aggiungere un articolo?
dialogText_ausreichend-artikel,Es sind bereits ausreichend Artikel in der EP erfasst. Wollen Sie dennoch ein neues Produkt erfassen?,Already enough items of this type recorded. Would you like to add a new item nevertheless?,Le nombre d'articles dans cette EP est suffisant. Voulez-vous vraiment relever un article supplémentaire ?,Nella varietà sono già rilevati abbastanza prodotti. Vuole comunque rilevare un articolo in più?
dialogText_pdf-preparing-data,PDF wird vorbereitet.,PDF being created.,PDF en préparation.,PDF in preparazione.
dialogText_pdf-create-error,PDF konnte nicht erstellt werden.,PDF couldn't be created.,PDF ERROR,PDF ERROR
dialogText_pdf-saved-at-application,PDF wurde unter Applikationsdokumenten abgelegt: Eigene Dateien -> Interner Speicher > Android > data > io.ionic.starter.,"PDF successfully saved in Application folder, Files -> Internal > Android > data > io.ionic.starter.",PDF enregistré sous documents de l'application: Documents -> Internal > Android > data > io.ionic.starter.,PDF registrato nella cartella Documenti dell'applicazione:
dialogText_pdf-saved-at-documents,PDF wurde unter Dokumente abgelegt.,PDF successfully saved in Documents.,PDF enregistré sous documents.,PDF registrato in Documenti.
dialogText_rrr-message-mit-aufforderung-zu-produktersatz,Dieser Artikel fehlt schon länger. Gibt es ein vergleichbares Ersatzprodukt?,Item missing for a while. Is there a similar product to replace it?,Cet article manque depuis longtemps. Y a-t-il un article semblable disponible pour un remplacement ?,Questo articolo manca da qualche mese. Esiste un articolo paragonabile per sostituirlo?
dialogText_unveraendert-pm-text,Ist der Artikeltext/die Artikelnummer wirklich unverändert zum Vorgängerprodukt?,Are new item's name and number really unchanged to former item?,Description/numéro d'article : vraiment identique au mois précédent ?,La descrizione dell'articolo/il numero dell'articolo sono effettivamente gli stessi rispetto al prodotto precedente?
dialogText_vp_aktionspreis-gleich-hoeher-aktueller-normalpreis,Aktionspreis der VP war gleich oder grösser als aktueller Normalpreis. Ist der aktuelle Preis ein Aktionspreis?,Reduced price of previous period equal to or higher than current normal price. Is product still on sale?,Le prix en action de la période précédente est supérieur/égal au prix normal actuel. Le prix actuel est-il en action ?,Il prezzo scontato del periodo precedente era lo stesso o più elevato rispetto al prezzo attuale.  Il prezzo attuale è scontato?
error_user-db-id-mismatch,Datenbank ID's stimmen nicht überein. Bitte Admin kontaktieren.,Mismatch User-DB-ID. Please contact admin.,Problème d'identification (User-DB-ID). Veuillez contacter l'administrateur.,Errore di autenticazione (User-DB-ID). Si prega di contattare l'amministratore.
error_login-wrong-credentials,Benutzername und Password stimmen nicht überein.,User name and password do not match.,Le nom d'utilsateur et/ou le mot de passe n'est pas correct.,Il nome utente e la password non corrispondono.
error_request_unauthorized,Kein gültiges Login vorhanden. Login ist eventuell abgelaufen.,No valid login found. Login has probably expired.,Login pas valable. Login probablement expiré. ,Il login non è valido. È probabilmente scaduto.
error_synchronize_unknown-error,Ein unbekannter Fehler ist während der Synchronisierung aufgetreten. Bitte versuchen Sie es später erneut oder kontaktieren Sie den Administrator.,Unknown error while synchronizing. Please try again later or contact the administrator.,Une erreur inconnue a eu lieu lors de la synchronisation. Veuillez réessayer ultérieurement ou contacter l'administrateur. ,Si è verificato un errore sconosciuto durante la sincronizzazione. Riprovi più tardi o contatti l'amministratore.
heading_aktuelle_periode,Aktuelle Periode,Current period,Période actuelle,Periodo attuale
heading_artikel-ausser-aktion,Artikel ausser Aktion,Item without reduction,Article hors action,Articolo non scontato
heading_artikel-neu,Artikel neu,New item,Nouvel article,Nuovo articolo
